"QuestionSet","Part","PartTitle","SectionPoints","QuestionNumber","QuestionText","OptionA","OptionB","OptionC","CorrectOption","CorrectAnswer"
"Grade 2 Practice Exam","Part B","Mathematics","20","21","35 + 24 =","58","59","69","B","59"
"Grade 2 Practice Exam","Part B","Mathematics","20","22","80 − 46 =","33","34","44","B","34"
"Grade 2 Practice Exam","Part B","Mathematics","20","23","6 × 5 =","11","30","35","B","30"
"Grade 2 Practice Exam","Part B","Mathematics","20","24","36 ÷ 6 =","5","6","7","B","6"
"Grade 2 Practice Exam","Part B","Mathematics","20","25","Which is the greatest?","78","87","68","B","87"
"Grade 2 Practice Exam","Part B","Mathematics","20","26","Arrange from smallest to largest: 45, 19, 62","19, 45, 62","45, 19, 62","62, 45, 19","A","19, 45, 62"
"Grade 2 Practice Exam","Part B","Mathematics","20","27","Complete the pattern: 4, 8, 12, 16, ___","18","20","24","B","20"
"Grade 2 Practice Exam","Part B","Mathematics","20","28","What is the place value of 5 in 352?","Ones","Tens","Hundreds","B","Tens"
"Grade 2 Practice Exam","Part B","Mathematics","20","29","Round 48 to the nearest ten.","40","50","60","B","50"
"Grade 2 Practice Exam","Part B","Mathematics","20","30","There are 28 boys and 25 girls. How many students are there?","43","53","63","B","53"
"Grade 2 Practice Exam","Part B","Mathematics","20","31","Ben has ₱50. He buys a toy worth ₱28. How much money is left?","18","22","28","B","22"
"Grade 2 Practice Exam","Part B","Mathematics","20","32","Which is longer?","2 meters","150 centimeters","","A","2 meters"
"Grade 2 Practice Exam","Part B","Mathematics","20","33","How many sides does a hexagon have?","5","6","8","B","6"
"Grade 2 Practice Exam","Part B","Mathematics","20","34","Count by 10s: 40, 50, 60, ___","65","70","80","B","70"
"Grade 2 Practice Exam","Part B","Mathematics","20","35","What time is one hour after 3:00 PM?","2:00 PM","4:00 PM","5:00 PM","B","4:00 PM"
"Grade 2 Practice Exam","Part B","Mathematics","20","36","100 − 75 =","15","25","35","B","25"
"Grade 2 Practice Exam","Part B","Mathematics","20","37","Which fraction is bigger?","1/2","1/4","","A","1/2"
"Grade 2 Practice Exam","Part B","Mathematics","20","38","There are 5 bags. Each bag has 4 apples. How many apples are there?","16","20","24","B","20"
"Grade 2 Practice Exam","Part B","Mathematics","20","39","Fill in the missing number: 96, 97, ___, 99","97","98","100","B","98"
"Grade 2 Practice Exam","Part B","Mathematics","20","40","Which number is even?","25","36","41","B","36"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","41","What comes next? 2, 4, 8, 16, ___","18","24","32","C","32"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","42","What comes next? Circle, Square, Circle, Square, Circle, ___","Circle","Square","","B","Square"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","43","Which one does not belong?","Dog","Cat","Car","C","Car"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","44","Bird is to Nest as Fish is to ______.","Nest","Pond","Tree","B","Pond"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","45","If today is Tuesday, what day comes after tomorrow?","Wednesday","Thursday","Friday","B","Thursday"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","46","Find the missing letter: A, C, E, G, ___","H","I","J","B","I"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","47","Which object is the heaviest?","Pencil","Book","Elephant","C","Elephant"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","48","Which picture would complete the pattern? 🍎🍌🍎🍌🍎___","🍎","🍌","","B","🍌"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","49","Which shape has no corners?","Rectangle","Square","Circle","C","Circle"
"Grade 2 Practice Exam","Part C","Logic & IQ","10","50","Which one is different?","Rose","Sunflower","Chair","C","Chair"
"Grade 2 Practice Exam","Part D","Science","10","51","Which part of the plant absorbs water?","Roots","Leaves","Flowers","A","Roots"
"Grade 2 Practice Exam","Part D","Science","10","52","Which planet do we live on?","Mars","Jupiter","Earth","C","Earth"
"Grade 2 Practice Exam","Part D","Science","10","53","Which sense do we use to smell?","Nose","Eyes","Ears","A","Nose"
"Grade 2 Practice Exam","Part D","Science","10","54","Which animal lays eggs?","Dog","Chicken","Cat","B","Chicken"
"Grade 2 Practice Exam","Part D","Science","10","55","Which object is attracted by a magnet?","Plastic spoon","Iron nail","Paper","B","Iron nail"
"Grade 2 Practice Exam","Part D","Science","10","56","What do plants need to make food?","Sunlight","Television","Toys","A","Sunlight"
"Grade 2 Practice Exam","Part D","Science","10","57","Water changes into ice when it becomes ______.","Hot","Cold","Wet","B","Cold"
"Grade 2 Practice Exam","Part D","Science","10","58","Which is a source of light?","Moon","Sun","Chair","B","Sun"
"Grade 2 Practice Exam","Part D","Science","10","59","Which should you do to stay healthy?","Eat vegetables","Drink soda every day","Sleep very late","A","Eat vegetables"
"Grade 2 Practice Exam","Part D","Science","10","60","Which is a living thing?","Rock","Tree","Chair","B","Tree"
"Basic Assessment","Part A","English","20","31","Which word begins with the letter M?","Mango","Banana","Apple","A","Mango"
"Basic Assessment","Part A","English","20","32","Which word starts with the same sound as Fish?","Fan","Sun","Toy","A","Fan"
"Basic Assessment","Part A","English","20","33","Which word rhymes with dog?","Log","Ball","Tree","A","Log"
"Basic Assessment","Part A","English","20","34","Which one is a vegetable?","Carrot","Chair","Pencil","A","Carrot"
"Basic Assessment","Part A","English","20","35","Which one is a body part?","Elbow","Spoon","Book","A","Elbow"
"Basic Assessment","Part A","English","20","36","Opposite of up is ___.","Down","Over","Around","A","Down"
"Basic Assessment","Part A","English","20","37","Opposite of full is ___.","Empty","Heavy","Tall","A","Empty"
"Basic Assessment","Part A","English","20","38","Which letter comes after T?","U","V","S","A","U"
"Basic Assessment","Part A","English","20","39","Which letter comes before K?","J","I","L","A","J"
"Basic Assessment","Part A","English","20","40","Read the story: ""Lily has a yellow umbrella. She uses it when it rains. After the rain, she likes to look for rainbows."" What does Lily have?","Umbrella","Hat","Ball","A","Umbrella"
"Basic Assessment","Part A","English","20","41","Read the story: ""Lily has a yellow umbrella. She uses it when it rains. After the rain, she likes to look for rainbows."" What color is the umbrella?","Yellow","Blue","Green","A","Yellow"
"Basic Assessment","Part A","English","20","42","Read the story: ""Lily has a yellow umbrella. She uses it when it rains. After the rain, she likes to look for rainbows."" When does Lily use her umbrella?","When it rains","At bedtime","At lunch","A","When it rains"
"Basic Assessment","Part A","English","20","43","Read the story: ""Lily has a yellow umbrella. She uses it when it rains. After the rain, she likes to look for rainbows."" What does Lily look for after the rain?","Rainbows","Stars","Birds","A","Rainbows"
"Basic Assessment","Part A","English","20","44","Fill in the blank. I eat _____.","Rice","Shoes","Pillow","A","Rice"
"Basic Assessment","Part A","English","20","45","Which sentence is correct?","The cat sleeps.","Sleeps cat the.","Cat sleeps the.","A","The cat sleeps."
"Basic Assessment","Part A","English","20","46","Which word is a color?","Green","Frog","Book","A","Green"
"Basic Assessment","Part A","English","20","47","Which word is a number?","Seven","Sun","Sock","A","Seven"
"Basic Assessment","Part A","English","20","48","Which one can swim?","Fish","Dog","Cow","A","Fish"
"Basic Assessment","Part A","English","20","49","Which word starts with P?","Pencil","Ball","Sun","A","Pencil"
"Basic Assessment","Part A","English","20","50","Which is used for cutting paper?","Scissors","Plate","Pillow","A","Scissors"
"Basic Assessment","Part B","Mathematics","18","51","Count: ⭐⭐⭐⭐⭐⭐⭐ How many stars?","7","6","8","A","7"
"Basic Assessment","Part B","Mathematics","18","52","Which number is greater? 12 or 9","12","9","","A","12"
"Basic Assessment","Part B","Mathematics","18","53","What is 6 + 5?","11","10","12","A","11"
"Basic Assessment","Part B","Mathematics","18","54","What is 10 − 4?","6","5","7","A","6"
"Basic Assessment","Part B","Mathematics","18","55","Fill in the missing number. 11, 12, 13, __","14","13","15","A","14"
"Basic Assessment","Part B","Mathematics","18","56","Which number comes before 20?","19","18","21","A","19"
"Basic Assessment","Part B","Mathematics","18","57","Count by fives. 5, 10, 15, __","20","18","25","A","20"
"Basic Assessment","Part B","Mathematics","18","58","Which is the smallest number? 15, 8, 12","8","15","12","A","8"
"Basic Assessment","Part B","Mathematics","18","59","Which shape has no sides?","Circle","Triangle","Square","A","Circle"
"Basic Assessment","Part B","Mathematics","18","60","Which shape has four sides?","Square","Circle","Triangle","A","Square"
"Basic Assessment","Part B","Mathematics","18","61","Which is shorter?","A crayon","A broom","","A","A crayon"
"Basic Assessment","Part B","Mathematics","18","62","Which is lighter?","A balloon","A rock","","A","A balloon"
"Basic Assessment","Part B","Mathematics","18","63","Ana has 7 candies. Her friend gives her 3 more. How many candies does she have?","10","9","11","A","10"
"Basic Assessment","Part B","Mathematics","18","64","There are 12 birds. 5 fly away. How many birds are left?","7","6","8","A","7"
"Basic Assessment","Part B","Mathematics","18","65","Count: 🍎🍎🍎🍎🍎🍎 How many apples?","6","5","7","A","6"
"Basic Assessment","Part B","Mathematics","18","66","Which number is odd? 10, 13, 18","13","10","18","A","13"
"Basic Assessment","Part B","Mathematics","18","67","What comes next? 20, 19, 18, __","17","16","18","A","17"
"Basic Assessment","Part B","Mathematics","18","68","Which is taller?","A building","A chair","","A","A building"
"Basic Assessment","Part C","Logic and Patterns","9","69","Complete the pattern. ⭐ ❤️ ⭐ ❤️ ⭐ __","❤️","⭐","","A","❤️"
"Basic Assessment","Part C","Logic and Patterns","9","70","Complete the pattern. ▲ ▲ ● ▲ ▲ ● ▲ ▲ __","●","▲","■","A","●"
"Basic Assessment","Part C","Logic and Patterns","9","71","Which one does NOT belong?","Bus","Apple","Banana","A","Bus"
"Basic Assessment","Part C","Logic and Patterns","9","72","Cow is to Calf. Dog is to ___.","Puppy","Kitten","Chick","A","Puppy"
"Basic Assessment","Part C","Logic and Patterns","9","73","Which comes first?","Breakfast","Lunch","Dinner","A","Breakfast"
"Basic Assessment","Part C","Logic and Patterns","9","74","Which is the smallest?","🐭 Mouse","🐘 Elephant","🐴 Horse","A","🐭 Mouse"
"Basic Assessment","Part C","Logic and Patterns","9","75","Which animal can fly?","Butterfly","Cow","Dog","A","Butterfly"
"Basic Assessment","Part C","Logic and Patterns","9","76","Complete the pattern. 🍌 🍎 🍌 🍎 🍌 __","🍎","🍌","🍇","A","🍎"
"Basic Assessment","Part C","Logic and Patterns","9","77","Which picture is different?","🚗","🐶","🐱","A","🚗"
"Basic Assessment","Part D","General Knowledge","10","78","Which part of the plant makes seeds?","Flower","Root","Stem","A","Flower"
"Basic Assessment","Part D","General Knowledge","10","79","Which planet is our home?","Earth","Jupiter","Mars","A","Earth"
"Basic Assessment","Part D","General Knowledge","10","80","Which body part helps us smell?","Nose","Eyes","Ears","A","Nose"
"Basic Assessment","Part D","General Knowledge","10","81","Which animal lays eggs?","Chicken","Dog","Cat","A","Chicken"
"Basic Assessment","Part D","General Knowledge","10","82","Which does a plant need to grow?","Water","Television","Toys","A","Water"
"Basic Assessment","Part D","General Knowledge","10","83","Which season is usually hot and sunny in the Philippines?","Dry season","Rainy season","","A","Dry season"
"Basic Assessment","Part D","General Knowledge","10","84","Which object is attracted by a magnet?","Paper clip","Paper","Plastic cup","A","Paper clip"
"Basic Assessment","Part D","General Knowledge","10","85","Which is the healthiest drink?","Water","Soft drink","Candy juice","A","Water"
"Basic Assessment","Part D","General Knowledge","10","86","Which body part helps us hear?","Ears","Hands","Feet","A","Ears"
"Basic Assessment","Part D","General Knowledge","10","87","Which is a living thing?","Tree","Rock","Chair","A","Tree"
"Basic Assessment","Part A","English","20","88","Which word begins with the same sound as Moon?","Mouse","Sun","Ball","A","Mouse"
"Basic Assessment","Part A","English","20","89","Which word rhymes with cake?","Lake","Book","Dog","A","Lake"
"Basic Assessment","Part A","English","20","90","Which one is a fruit?","Mango","Chair","Plate","A","Mango"
"Basic Assessment","Part A","English","20","91","Which one is an animal?","Horse","Pencil","Book","A","Horse"
"Basic Assessment","Part A","English","20","92","Which one is a color?","Purple","Pillow","Pencil","A","Purple"
"Basic Assessment","Part A","English","20","93","Opposite of open is ___.","Close","Push","Lift","A","Close"
"Basic Assessment","Part A","English","20","94","Opposite of fast is ___.","Slow","Tall","Bright","A","Slow"
"Basic Assessment","Part A","English","20","95","Which letter comes after Y?","Z","X","W","A","Z"
"Basic Assessment","Part A","English","20","96","Which letter comes before P?","O","Q","N","A","O"
"Basic Assessment","Part A","English","20","97","Read the story: ""Leo has a pet rabbit named Snow. Every morning, Leo gives Snow carrots and fresh water. Snow likes to hop around the garden and hide behind the flowers."" What pet does Leo have?","Rabbit","Dog","Cat","A","Rabbit"
"Basic Assessment","Part A","English","20","98","Read the story: ""Leo has a pet rabbit named Snow. Every morning, Leo gives Snow carrots and fresh water. Snow likes to hop around the garden and hide behind the flowers."" What is the rabbit's name?","Snow","Coco","Buddy","A","Snow"
"Basic Assessment","Part A","English","20","99","Read the story: ""Leo has a pet rabbit named Snow. Every morning, Leo gives Snow carrots and fresh water. Snow likes to hop around the garden and hide behind the flowers."" What does Leo give Snow every morning?","Carrots and water","Fish","Rice","A","Carrots and water"
"Basic Assessment","Part A","English","20","100","Read the story: ""Leo has a pet rabbit named Snow. Every morning, Leo gives Snow carrots and fresh water. Snow likes to hop around the garden and hide behind the flowers."" Where does Snow like to hop?","Around the garden","Around the house","Around the school","A","Around the garden"
"Basic Assessment","Part A","English","20","101","Read the story: ""Leo has a pet rabbit named Snow. Every morning, Leo gives Snow carrots and fresh water. Snow likes to hop around the garden and hide behind the flowers."" Where does Snow hide?","Behind the flowers","Under the bed","Inside a box","A","Behind the flowers"
"Basic Assessment","Part A","English","20","102","Which sentence is correct?","I like apples.","Like apples I.","Apples like I.","A","I like apples."
"Basic Assessment","Part A","English","20","103","Fill in the blank. Birds can _____.","Fly","Swim in trees","Read books","A","Fly"
"Basic Assessment","Part A","English","20","104","Which word starts with L?","Lion","Tiger","Bear","A","Lion"
"Basic Assessment","Part A","English","20","105","Which is used for sleeping?","Bed","Spoon","Ball","A","Bed"
"Basic Assessment","Part A","English","20","106","Which one is a number?","Nine","Nose","Nest","A","Nine"
"Basic Assessment","Part A","English","20","107","Which word names a place?","School","Teacher","Boy","A","School"
"Basic Assessment","Part B","Mathematics","18","108","Count: ⭐⭐⭐⭐⭐⭐⭐⭐ How many stars?","8","7","9","A","8"
"Basic Assessment","Part B","Mathematics","18","109","Which number is greater? 18 or 15","18","15","","A","18"
"Basic Assessment","Part B","Mathematics","18","110","What is 7 + 6?","13","12","14","A","13"
"Basic Assessment","Part B","Mathematics","18","111","What is 15 − 8?","7","6","8","A","7"
"Basic Assessment","Part B","Mathematics","18","112","Fill in the missing number. 16, 17, 18, __","19","18","20","A","19"
"Basic Assessment","Part B","Mathematics","18","113","Which number comes after 29?","30","29","31","A","30"
"Basic Assessment","Part B","Mathematics","18","114","Count by twos. 10, 12, 14, __","16","15","18","A","16"
"Basic Assessment","Part B","Mathematics","18","115","Which is the largest number? 11, 20, 17","20","11","17","A","20"
"Basic Assessment","Part B","Mathematics","18","116","Which shape has four corners?","Square","Circle","Oval","A","Square"
"Basic Assessment","Part B","Mathematics","18","117","Which shape can roll?","Circle","Triangle","Square","A","Circle"
"Basic Assessment","Part B","Mathematics","18","118","Which is heavier?","A bicycle","A feather","","A","A bicycle"
"Basic Assessment","Part B","Mathematics","18","119","Which is shorter?","A ruler","A rope","","A","A ruler"
"Basic Assessment","Part B","Mathematics","18","120","Maria has 9 flowers. She picks 5 more. How many flowers does she have now?","14","13","15","A","14"
"Basic Assessment","Part B","Mathematics","18","121","Ben has 14 balloons. 2 pop. How many balloons are left?","12","11","13","A","12"
"Basic Assessment","Part B","Mathematics","18","122","Count: 🍎🍎🍎🍎🍎🍎🍎 How many apples?","7","6","8","A","7"
"Basic Assessment","Part B","Mathematics","18","123","Which number is even? 17, 22, 19","22","17","19","A","22"
"Basic Assessment","Part B","Mathematics","18","124","What comes next? 30, 29, 28, __","27","26","28","A","27"
"Basic Assessment","Part B","Mathematics","18","125","Which is taller?","A giraffe","A goat","","A","A giraffe"
"Basic Assessment","Part C","Logic and Patterns","9","126","Complete the pattern. ▲ ● ■ ▲ ● ■ ▲ ● __","■","▲","●","A","■"
"Basic Assessment","Part C","Logic and Patterns","9","127","Complete the pattern. 🍎 🍌 🍌 🍎 🍌 🍌 🍎 __","🍌","🍎","🍇","A","🍌"
"Basic Assessment","Part C","Logic and Patterns","9","128","Which one does NOT belong?","Banana","Car","Bus","A","Banana"
"Basic Assessment","Part C","Logic and Patterns","9","129","Bird is to Nest. Bee is to ___.","Hive","Tree","Pond","A","Hive"
"Basic Assessment","Part C","Logic and Patterns","9","130","Which comes last?","Night","Morning","Afternoon","A","Night"
"Basic Assessment","Part C","Logic and Patterns","9","131","Which is the tallest?","🌳 Tree","🌷 Flower","🌱 Plant","A","🌳 Tree"
"Basic Assessment","Part C","Logic and Patterns","9","132","Which animal cannot fly?","Cow","Butterfly","Eagle","A","Cow"
"Basic Assessment","Part C","Logic and Patterns","9","133","Which picture is different?","🍎","🐶","🐱","A","🍎"
"Basic Assessment","Part C","Logic and Patterns","9","134","What comes next? A, C, E, G, __","I","H","J","A","I"
"Basic Assessment","Part D","General Knowledge","10","135","Which part of the plant helps make food?","Leaf","Root","Stem","A","Leaf"
"Basic Assessment","Part D","General Knowledge","10","136","Which body part helps us think?","Brain","Nose","Hand","A","Brain"
"Basic Assessment","Part D","General Knowledge","10","137","Which animal is a bird?","Eagle","Dog","Horse","A","Eagle"
"Basic Assessment","Part D","General Knowledge","10","138","Which season usually has many sunny days in the Philippines?","Dry season","Rainy season","","A","Dry season"
"Basic Assessment","Part D","General Knowledge","10","139","Which object will float?","Leaf","Stone","Coin","A","Leaf"
"Basic Assessment","Part D","General Knowledge","10","140","Which body part helps us taste food?","Tongue","Eyes","Ears","A","Tongue"
"Basic Assessment","Part D","General Knowledge","10","141","Which object is attracted to a magnet?","Iron key","Plastic bottle","Paper bag","A","Iron key"
"Basic Assessment","Part D","General Knowledge","10","142","Which is a healthy habit?","Washing hands before eating","Skipping meals","Sleeping very late","A","Washing hands before eating"
"Basic Assessment","Part D","General Knowledge","10","143","Which is a source of light?","Sun","Chair","Table","A","Sun"
"Basic Assessment","Part D","General Knowledge","10","144","Which is a living thing?","Butterfly","Rock","Pencil","A","Butterfly"
"Basic Assessment","Part A","English","20","145","Which word begins with the same sound as Sun?","Sock","Moon","Ball","A","Sock"
